TheriakPTpath version: EDK20160901
No.,T(C),P(bars),Xalm,Xprp,Xsps,Xgrs,Mg#,Fe#,obs_Xalm,obs_Xprp,obs_Xsps,obs_Xgrs,obs_Mg#,obs_Fe#,GrtVolCC,GrtCumulMode,GrtG(J),blk_Si,blk_Al,blk_Fe,blk_Mg,blk_Mn,blk_Ca,blk_Na,blk_K,blk_Ti,blk_H
13,560.28773000,5933.66770000,0.71934557,0.072735955,0.052820000,0.15509847,0.091828874,0.90817113,0.71680000,0.072900000,0.054600000,0.15580000,0.092313537,0.90768646,0.0001558743200,0.7568856153,1.0000000,68.0349320,10.7899540,2.83824860,1.95774610,0.0160658510,0.412869540,1.08000000,2.57000000,0.740000000,100.000000
14,560.29209000,5934.45230000,0.71934867,0.072737716,0.052780488,0.15513313,0.091830534,0.90816947,0.72020000,0.071300000,0.053300000,0.15510000,0.090082123,0.90991788,0.009132527600,0.7573567154,-6.9277900e-14,68.0349280,10.7899510,2.83824570,1.95774580,0.0160656350,0.412868910,1.08000000,2.57000000,0.740000000,100.000000
15,560.90315000,5913.13570000,0.72189206,0.073663739,0.052048758,0.15239545,0.092594057,0.90740594,0.72430000,0.072600000,0.051900000,0.15120000,0.091103024,0.90889698,0.2067768400,0.7679624149,1.8864900e-12,68.0346950,10.7897960,2.83807820,1.95772890,0.0160533480,0.412832800,1.08000000,2.57000000,0.740000000,100.000000
16,559.53742000,6013.63820000,0.71528451,0.071341694,0.051640999,0.16173280,0.090693259,0.90930674,0.71760000,0.070100000,0.052000000,0.16030000,0.088993272,0.91100673,0.001920426800,0.7682192776,-6.2172500e-14,68.0294230,10.7862810,2.83427240,1.95734050,0.0157789460,0.412029370,1.08000000,2.57000000,0.740000000,100.000000
17,559.61692000,6141.84090000,0.71324290,0.070827740,0.046608201,0.16932116,0.090333366,0.90966663,0.71380000,0.070600000,0.046600000,0.16900000,0.090005099,0.90999490,1.237488140,0.8321398687,-9.7077900e-13,68.0044160,10.7696090,2.81641010,1.95556300,0.0145510110,0.407889740,1.08000000,2.57000000,0.740000000,100.000000
18,561.70148000,5998.08720000,1000.0000,0.00000000,0.00000000,0.00000000,0.00000000,1.0000000,0.72560000,0.073000000,0.047400000,0.15410000,0.091409967,0.90859003,0.0000000000,0.8318928971,1.0000000,67.9978490,10.7652310,2.81172650,1.95509790,0.0142449510,0.406777860,1.08000000,2.57000000,0.740000000,100.000000
19,562.51334000,5993.56130000,0.72614127,0.075455071,0.045426592,0.15297707,0.094131008,0.90586899,0.72450000,0.076200000,0.045500000,0.15380000,0.095166729,0.90483327,0.4996106100,0.8576123000,-2.7178300e-13,67.9978490,10.7652310,2.81172650,1.95509790,0.0142449510,0.406777860,1.08000000,2.57000000,0.740000000,100.000000
20,562.72649000,6062.89200000,0.72557239,0.075412013,0.042602456,0.15641315,0.094149166,0.90585083,0.72360000,0.076300000,0.042700000,0.15740000,0.095386923,0.90461308,0.7727621000,0.8975434695,2.6361100e-12,67.9720780,10.7480510,2.79301690,1.95315370,0.0130927810,0.402813150,1.08000000,2.57000000,0.740000000,100.000000
21,562.84964000,6206.97480000,0.72301904,0.074916934,0.037524631,0.16453940,0.093888403,0.90611160,0.72150000,0.075600000,0.037600000,0.16530000,0.094843809,0.90515619,1.512798230,0.9758047654,-1.3376000e-12,67.9348940,10.7232610,2.76607510,1.95035730,0.0115872220,0.396872480,1.08000000,2.57000000,0.740000000,100.000000
22,564.26679000,6181.03250000,0.72816170,0.077042764,0.035529951,0.15926558,0.095680994,0.90431901,0.72390000,0.079000000,0.035700000,0.16140000,0.098393324,0.90160668,0.7372837000,1.013780683,-3.6326500e-13,67.9175780,10.7117170,2.75353110,1.94905020,0.0109466170,0.394047880,1.08000000,2.57000000,0.740000000,100.000000
