isoFit version: isoFit0.1
No.	T(C)	P(bars)	Xalm	Xprp	Xsps	Xgrs	Mg#	Fe#	obs_Xalm	obs_Xprp	obs_Xsps	obs_Xgrs	obs_Mg#	obs_Fe#	GrtVolCC	GrtCumulMode	blk_Si	blk_Al	blk_Fe	blk_Mg	blk_Mn	blk_Ca	blk_Na	blk_K	blk_Ti	blk_H
11	541.66137000	5516.57580000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.69330000	0.060800000	0.11330000	0.13260000	0.080625912	0.91937409	0.0000000000	1.029863721	49.6558530	24.3105690	4.03967960	2.36736930	0.0412477050	0.327556400	2.25000000	6.13000000	0.820000000	60.0000000
12	539.58966000	5733.42480000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.69870000	0.062400000	0.11320000	0.12570000	0.081986598	0.91801340	0.0000000000	1.030092037	49.6558530	24.3105690	4.03967960	2.36736930	0.0412477050	0.327556400	2.25000000	6.13000000	0.820000000	60.0000000
13	537.03311000	5908.07790000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.69750000	0.061400000	0.11170000	0.12940000	0.080906575	0.91909342	0.0000000000	1.030257095	49.6558530	24.3105690	4.03967960	2.36736930	0.0412477050	0.327556400	2.25000000	6.13000000	0.820000000	60.0000000
14	533.49937000	6114.90780000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.68790000	0.061600000	0.10830000	0.14230000	0.082188125	0.91781187	0.0000000000	1.030446157	49.6558530	24.3105690	4.03967960	2.36736930	0.0412477050	0.327556400	2.25000000	6.13000000	0.820000000	60.0000000
15	545.59837000	5324.68650000	0.70314573	0.056463570	0.10699368	0.13339702	0.074332385	0.92566762	0.69600000	0.059800000	0.10580000	0.13850000	0.079121461	0.92087854	0.8697777670	1.076111497	49.6362190	24.2974800	4.02608120	2.36631550	0.0391101300	0.324712230	2.25000000	6.13000000	0.820000000	60.0000000
16	542.71311000	5574.33590000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.69520000	0.060500000	0.10450000	0.13980000	0.080058224	0.91994178	0.0000000000	1.076353589	49.6336910	24.2957950	4.02430390	2.36617280	0.0388396940	0.324375060	2.25000000	6.13000000	0.820000000	60.0000000
17	539.93927000	5820.96330000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.69450000	0.061200000	0.10320000	0.14100000	0.080984518	0.91901548	0.0000000000	1.076615087	49.6336910	24.2957950	4.02430390	2.36617280	0.0388396940	0.324375060	2.25000000	6.13000000	0.820000000	60.0000000
18	536.65122000	6038.16180000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.69380000	0.061900000	0.10200000	0.14230000	0.081910811	0.91808919	0.0000000000	1.076831785	49.6336910	24.2957950	4.02430390	2.36617280	0.0388396940	0.324375060	2.25000000	6.13000000	0.820000000	60.0000000
19	546.24956000	5240.94750000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.69670000	0.063500000	0.10670000	0.13300000	0.083530650	0.91646935	0.0000000000	1.076024241	49.6336910	24.2957950	4.02430390	2.36617280	0.0388396940	0.324375060	2.25000000	6.13000000	0.820000000	60.0000000
20	543.59384000	5505.60480000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.69320000	0.062300000	0.10750000	0.13700000	0.082461946	0.91753805	0.0000000000	1.076287692	49.6336910	24.2957950	4.02430390	2.36617280	0.0388396940	0.324375060	2.25000000	6.13000000	0.820000000	60.0000000
21	539.91413000	5836.00760000	0.67425796	0.048687470	0.10303737	0.17401720	0.067345982	0.93265402	0.68110000	0.060800000	0.10090000	0.15710000	0.081951746	0.91804825	0.01650805600	1.077516879	49.6336910	24.2957950	4.02430390	2.36617280	0.0388396940	0.324375060	2.25000000	6.13000000	0.820000000	60.0000000
22	536.31830000	6107.23380000	0.65585156	0.044459742	0.098266820	0.20142188	0.063485685	0.93651432	0.68910000	0.060800000	0.095100000	0.15500000	0.081077477	0.91892252	0.3710625940	1.097610003	49.6254660	24.2903120	4.01884570	2.36579270	0.0380124150	0.322815820	2.25000000	6.13000000	0.820000000	60.0000000
23	545.35545000	5680.95070000	0.69984602	0.054460737	0.092834099	0.15285915	0.072199720	0.92780028	0.69210000	0.059800000	0.090300000	0.15780000	0.079531853	0.92046815	1.656251219	1.185678527	49.5854870	24.2636600	3.99162980	2.36379580	0.0341633320	0.315899060	2.25000000	6.13000000	0.820000000	60.0000000
24	542.25869000	5968.57500000	0.68395881	0.050220975	0.088818258	0.17700195	0.068404191	0.93159581	0.69500000	0.058800000	0.085400000	0.16070000	0.078004776	0.92199522	0.3618372550	1.205358564	49.5739310	24.2559560	3.98361720	2.36318670	0.0331073440	0.314020830	2.25000000	6.13000000	0.820000000	60.0000000
25	538.82503000	6180.96570000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.70210000	0.061100000	0.083300000	0.15350000	0.080057652	0.91994235	0.0000000000	1.205596107	49.5725190	24.2550140	3.98265110	2.36311580	0.0329818930	0.313770820	2.25000000	6.13000000	0.820000000	60.0000000
26	534.86094000	6448.51810000	0.64626374	0.041943488	0.080237215	0.23155556	0.060946015	0.93905399	0.70520000	0.063000000	0.079000000	0.15280000	0.082009893	0.91799011	0.8457902570	1.251146352	49.5541430	24.2427640	3.97061080	2.36231100	0.0314475330	0.309774810	2.25000000	6.13000000	0.820000000	60.0000000
27	517.61768000	7208.16150000	0.55798508	0.027904557	0.050432033	0.36367834	0.047627668	0.95237233	0.70830000	0.064900000	0.074700000	0.15200000	0.083936886	0.91606311	5.854588270	1.565766886	49.4128540	24.1485710	3.88725640	2.35771860	0.0224857260	0.265394580	2.25000000	6.13000000	0.820000000	60.0000000
28	515.32127000	7241.77050000	0.54697983	0.026529947	0.049060260	0.37742996	0.046258927	0.95374107	0.71940000	0.064800000	0.070600000	0.14520000	0.082631982	0.91736802	0.1899825750	1.575928386	49.4009070	24.1406060	3.88060660	2.35738730	0.0218851920	0.261029050	2.25000000	6.13000000	0.820000000	60.0000000
